Item_A,Item_B,Sub_A,Sub_B,Q3,Q3_adj,Same_sub,Flag
Q18,Q22,S2,S3,-0.047,-0.010,FALSE,FALSE
Q22,Q26,S3,S3,-0.048,-0.011,TRUE,FALSE
Q06,Q16,S1,S2,-0.048,-0.011,FALSE,FALSE
Q18,Q24,S2,S3,-0.048,-0.011,FALSE,FALSE
Q04,Q28,S1,S3,-0.049,-0.012,FALSE,FALSE
Q03,Q16,S1,S2,-0.050,-0.013,FALSE,FALSE
Q08,Q16,S1,S2,-0.050,-0.013,FALSE,FALSE
Q07,Q22,S1,S3,-0.051,-0.014,FALSE,FALSE
Q09,Q22,S1,S3,-0.052,-0.015,FALSE,FALSE
Q19,Q28,S2,S3,-0.052,-0.015,FALSE,FALSE
Q05,Q29,S1,S3,-0.052,-0.015,FALSE,FALSE
Q01,Q22,S1,S3,-0.053,-0.016,FALSE,FALSE
Q15,Q22,S2,S3,-0.053,-0.016,FALSE,FALSE
Q14,Q28,S2,S3,-0.053,-0.017,FALSE,FALSE
Q06,Q07,S1,S1,-0.055,-0.018,TRUE,FALSE
Q19,Q22,S2,S3,-0.055,-0.018,FALSE,FALSE
Q01,Q12,S1,S2,-0.056,-0.019,FALSE,FALSE
Q10,Q20,S2,S3,-0.056,-0.019,FALSE,FALSE
Q04,Q12,S1,S2,-0.057,-0.020,FALSE,FALSE
Q04,Q27,S1,S3,-0.057,-0.020,FALSE,FALSE
Q08,Q15,S1,S2,-0.059,-0.022,FALSE,FALSE
Q04,Q14,S1,S2,-0.059,-0.022,FALSE,FALSE
Q12,Q19,S2,S2,-0.061,-0.024,TRUE,FALSE
Q22,Q28,S3,S3,-0.061,-0.024,TRUE,FALSE
Q04,Q23,S1,S3,-0.061,-0.024,FALSE,FALSE
Q07,Q28,S1,S3,-0.062,-0.025,FALSE,FALSE
Q20,Q21,S3,S3,-0.062,-0.025,TRUE,FALSE
Q12,Q27,S2,S3,-0.062,-0.026,FALSE,FALSE
Q11,Q21,S2,S3,-0.065,-0.029,FALSE,FALSE
Q07,Q27,S1,S3,-0.066,-0.029,FALSE,FALSE
Q16,Q23,S2,S3,-0.066,-0.029,FALSE,FALSE
Q03,Q23,S1,S3,-0.066,-0.029,FALSE,FALSE
Q18,Q26,S2,S3,-0.067,-0.030,FALSE,FALSE
Q13,Q20,S2,S3,-0.069,-0.032,FALSE,FALSE
Q15,Q26,S2,S3,-0.069,-0.032,FALSE,FALSE
Q05,Q10,S1,S2,-0.071,-0.034,FALSE,FALSE
Q06,Q12,S1,S2,-0.071,-0.034,FALSE,FALSE
Q09,Q14,S1,S2,-0.071,-0.034,FALSE,FALSE
Q05,Q26,S1,S3,-0.071,-0.035,FALSE,FALSE
Q05,Q09,S1,S1,-0.072,-0.036,TRUE,FALSE
Q04,Q11,S1,S2,-0.073,-0.037,FALSE,FALSE
Q08,Q29,S1,S3,-0.073,-0.037,FALSE,FALSE
Q16,Q26,S2,S3,-0.074,-0.037,FALSE,FALSE
Q15,Q28,S2,S3,-0.074,-0.037,FALSE,FALSE
Q12,Q23,S2,S3,-0.075,-0.038,FALSE,FALSE
Q15,Q23,S2,S3,-0.077,-0.040,FALSE,FALSE
Q01,Q24,S1,S3,-0.078,-0.042,FALSE,FALSE
Q09,Q10,S1,S2,-0.079,-0.042,FALSE,FALSE
Q07,Q20,S1,S3,-0.079,-0.042,FALSE,FALSE
Q09,Q16,S1,S2,-0.080,-0.043,FALSE,FALSE
Q15,Q29,S2,S3,-0.080,-0.043,FALSE,FALSE
Q01,Q15,S1,S2,-0.081,-0.044,FALSE,FALSE
Q01,Q10,S1,S2,-0.082,-0.045,FALSE,FALSE
Q08,Q10,S1,S2,-0.082,-0.045,FALSE,FALSE
Q01,Q21,S1,S3,-0.082,-0.045,FALSE,FALSE
Q11,Q18,S2,S2,-0.083,-0.046,TRUE,FALSE
Q13,Q19,S2,S2,-0.084,-0.047,TRUE,FALSE
Q08,Q24,S1,S3,-0.084,-0.047,FALSE,FALSE
Q04,Q15,S1,S2,-0.085,-0.048,FALSE,FALSE
Q07,Q11,S1,S2,-0.085,-0.048,FALSE,FALSE
Q09,Q15,S1,S2,-0.088,-0.051,FALSE,FALSE
Q14,Q18,S2,S2,-0.089,-0.052,TRUE,FALSE
Q09,Q13,S1,S2,-0.089,-0.052,FALSE,FALSE
Q16,Q27,S2,S3,-0.090,-0.053,FALSE,FALSE
Q09,Q18,S1,S2,-0.090,-0.053,FALSE,FALSE
Q13,Q15,S2,S2,-0.090,-0.053,TRUE,FALSE
Q16,Q28,S2,S3,-0.091,-0.054,FALSE,FALSE
Q05,Q19,S1,S2,-0.091,-0.054,FALSE,FALSE
Q14,Q23,S2,S3,-0.092,-0.055,FALSE,FALSE
Q18,Q27,S2,S3,-0.094,-0.057,FALSE,FALSE
Q01,Q18,S1,S2,-0.094,-0.057,FALSE,FALSE
Q14,Q24,S2,S3,-0.095,-0.058,FALSE,FALSE
Q05,Q13,S1,S2,-0.095,-0.059,FALSE,FALSE
Q26,Q27,S3,S3,-0.096,-0.059,TRUE,FALSE
Q12,Q22,S2,S3,-0.096,-0.059,FALSE,FALSE
Q01,Q14,S1,S2,-0.097,-0.061,FALSE,FALSE
Q13,Q27,S2,S3,-0.098,-0.061,FALSE,FALSE
Q19,Q23,S2,S3,-0.099,-0.062,FALSE,FALSE
Q08,Q19,S1,S2,-0.099,-0.062,FALSE,FALSE
Q15,Q18,S2,S2,-0.099,-0.062,TRUE,FALSE
Q13,Q16,S2,S2,-0.100,-0.063,TRUE,FALSE
Q11,Q27,S2,S3,-0.103,-0.066,FALSE,FALSE
Q04,Q13,S1,S2,-0.105,-0.068,FALSE,FALSE
Q03,Q14,S1,S2,-0.105,-0.068,FALSE,FALSE
Q03,Q22,S1,S3,-0.105,-0.068,FALSE,FALSE
Q20,Q27,S3,S3,-0.105,-0.068,TRUE,FALSE
Q03,Q28,S1,S3,-0.105,-0.068,FALSE,FALSE
Q04,Q21,S1,S3,-0.107,-0.070,FALSE,FALSE
Q10,Q18,S2,S2,-0.108,-0.071,TRUE,FALSE
Q06,Q15,S1,S2,-0.109,-0.072,FALSE,FALSE
Q09,Q12,S1,S2,-0.110,-0.073,FALSE,FALSE
Q16,Q20,S2,S3,-0.110,-0.073,FALSE,FALSE
Q08,Q20,S1,S3,-0.110,-0.073,FALSE,FALSE
Q08,Q26,S1,S3,-0.111,-0.074,FALSE,FALSE
Q09,Q19,S1,S2,-0.112,-0.075,FALSE,FALSE
Q06,Q28,S1,S3,-0.112,-0.075,FALSE,FALSE
Q06,Q23,S1,S3,-0.113,-0.076,FALSE,FALSE
Q08,Q27,S1,S3,-0.115,-0.078,FALSE,FALSE
Q07,Q24,S1,S3,-0.116,-0.079,FALSE,FALSE
Q13,Q23,S2,S3,-0.116,-0.079,FALSE,FALSE
Q16,Q22,S2,S3,-0.116,-0.079,FALSE,FALSE
Q13,Q29,S2,S3,-0.117,-0.080,FALSE,FALSE
Q06,Q22,S1,S3,-0.118,-0.081,FALSE,FALSE
Q01,Q08,S1,S1,-0.118,-0.081,TRUE,FALSE
Q04,Q29,S1,S3,-0.119,-0.082,FALSE,FALSE
Q04,Q19,S1,S2,-0.119,-0.083,FALSE,FALSE
Q10,Q11,S2,S2,-0.120,-0.083,TRUE,FALSE
Q12,Q28,S2,S3,-0.120,-0.083,FALSE,FALSE
Q16,Q29,S2,S3,-0.122,-0.085,FALSE,FALSE
Q05,Q16,S1,S2,-0.123,-0.086,FALSE,FALSE
Q11,Q14,S2,S2,-0.126,-0.090,TRUE,FALSE
Q03,Q27,S1,S3,-0.129,-0.092,FALSE,FALSE
Q14,Q21,S2,S3,-0.130,-0.093,FALSE,FALSE
Q13,Q28,S2,S3,-0.132,-0.095,FALSE,FALSE
Q09,Q29,S1,S3,-0.133,-0.097,FALSE,FALSE
Q11,Q29,S2,S3,-0.134,-0.098,FALSE,FALSE
Q09,Q23,S1,S3,-0.137,-0.100,FALSE,FALSE
Q06,Q27,S1,S3,-0.137,-0.100,FALSE,FALSE
Q10,Q29,S2,S3,-0.138,-0.101,FALSE,FALSE
Q21,Q26,S3,S3,-0.138,-0.101,TRUE,FALSE
Q06,Q10,S1,S2,-0.140,-0.103,FALSE,FALSE
Q05,Q20,S1,S3,-0.141,-0.104,FALSE,FALSE
Q06,Q13,S1,S2,-0.142,-0.105,FALSE,FALSE
Q06,Q19,S1,S2,-0.144,-0.107,FALSE,FALSE
Q18,Q19,S2,S2,-0.145,-0.108,TRUE,FALSE
Q12,Q24,S2,S3,-0.145,-0.108,FALSE,FALSE
Q09,Q28,S1,S3,-0.145,-0.108,FALSE,FALSE
Q19,Q20,S2,S3,-0.146,-0.109,FALSE,FALSE
Q07,Q12,S1,S2,-0.150,-0.113,FALSE,FALSE
Q11,Q13,S2,S2,-0.151,-0.114,TRUE,FALSE
Q06,Q21,S1,S3,-0.152,-0.115,FALSE,FALSE
Q11,Q24,S2,S3,-0.152,-0.115,FALSE,FALSE
Q07,Q29,S1,S3,-0.154,-0.117,FALSE,FALSE
Q03,Q20,S1,S3,-0.157,-0.120,FALSE,FALSE
Q10,Q28,S2,S3,-0.157,-0.120,FALSE,FALSE
Q04,Q10,S1,S2,-0.158,-0.121,FALSE,FALSE
Q06,Q24,S1,S3,-0.161,-0.124,FALSE,FALSE
Q03,Q26,S1,S3,-0.162,-0.125,FALSE,FALSE
Q05,Q24,S1,S3,-0.162,-0.125,FALSE,FALSE
Q05,Q11,S1,S2,-0.163,-0.126,FALSE,FALSE
Q13,Q22,S2,S3,-0.163,-0.126,FALSE,FALSE
Q09,Q21,S1,S3,-0.163,-0.126,FALSE,FALSE
Q01,Q19,S1,S2,-0.163,-0.127,FALSE,FALSE
Q03,Q10,S1,S2,-0.164,-0.127,FALSE,FALSE
Q01,Q29,S1,S3,-0.167,-0.130,FALSE,FALSE
Q15,Q21,S2,S3,-0.167,-0.130,FALSE,FALSE
Q01,Q23,S1,S3,-0.169,-0.132,FALSE,FALSE
Q12,Q29,S2,S3,-0.169,-0.132,FALSE,FALSE
Q13,Q14,S2,S2,-0.170,-0.133,TRUE,FALSE
Q04,Q16,S1,S2,-0.171,-0.134,FALSE,FALSE
Q03,Q21,S1,S3,-0.171,-0.135,FALSE,FALSE
Q03,Q29,S1,S3,-0.172,-0.136,FALSE,FALSE
Q04,Q18,S1,S2,-0.174,-0.137,FALSE,FALSE
Q12,Q20,S2,S3,-0.175,-0.138,FALSE,FALSE
Q06,Q18,S1,S2,-0.178,-0.141,FALSE,FALSE
Q03,Q24,S1,S3,-0.181,-0.144,FALSE,FALSE
Q20,Q23,S3,S3,-0.186,-0.149,TRUE,FALSE
Q09,Q24,S1,S3,-0.187,-0.150,FALSE,FALSE
Q09,Q27,S1,S3,-0.192,-0.156,FALSE,FALSE
Q01,Q28,S1,S3,-0.194,-0.158,FALSE,FALSE
Q07,Q21,S1,S3,-0.204,-0.167,FALSE,FALSE
Q07,Q26,S1,S3,-0.206,-0.169,FALSE,FALSE
Q19,Q26,S2,S3,-0.224,-0.187,FALSE,FALSE
Q15,Q20,S2,S3,-0.227,-0.190,FALSE,FALSE
Q08,Q22,S1,S3,-0.240,-0.203,FALSE,FALSE
Q12,Q21,S2,S3,-0.248,-0.211,FALSE,FALSE
Q05,Q21,S1,S3,-0.274,-0.237,FALSE,FALSE
