Item,Q01,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q26,Q27,Q28,Q29
Q14,-0.097,-0.105,-0.059,0.008,-0.043,0.031,-0.044,-0.071,-0.008,-0.126,0.052,-0.170,,0.014,0.029,-0.089,-0.031,-0.028,-0.130,-0.026,-0.092,-0.095,-0.043,-0.038,-0.053,0.066
Q15,-0.081,0.018,-0.085,-0.002,-0.109,-0.028,-0.059,-0.088,0.093,-0.038,0.016,-0.090,0.014,,0.112,-0.099,0.062,-0.227,-0.167,-0.053,-0.077,-0.044,-0.069,-0.019,-0.074,-0.080
Q16,-0.039,-0.050,-0.171,-0.123,-0.048,-0.013,-0.050,-0.080,0.037,-0.026,0.108,-0.100,0.029,0.112,,-0.013,-0.038,-0.110,0.048,-0.116,-0.066,0.031,-0.074,-0.090,-0.091,-0.122
Q18,-0.094,-0.045,-0.174,0.057,-0.178,0.004,-0.042,-0.090,-0.108,-0.083,0.027,0.012,-0.089,-0.099,-0.013,,-0.145,-0.029,0.106,-0.047,-0.044,-0.048,-0.067,-0.094,0.078,-0.032
Q19,-0.163,-0.037,-0.119,-0.091,-0.144,0.023,-0.099,-0.112,0.010,-0.023,-0.061,-0.084,-0.031,0.062,-0.038,-0.145,,-0.146,0.040,-0.055,-0.099,0.027,-0.224,0.029,-0.052,0.059
Q20,0.183,-0.157,0.040,-0.141,0.215,-0.079,-0.110,0.127,-0.056,0.274,-0.175,-0.069,-0.028,-0.227,-0.110,-0.029,-0.146,,-0.062,0.095,-0.186,0.026,0.238,-0.105,0.043,-0.035
Q21,-0.082,-0.171,-0.107,-0.274,-0.152,-0.204,0.069,-0.163,-0.042,-0.065,-0.248,0.138,-0.130,-0.167,0.048,0.106,0.040,-0.062,,0.030,0.074,0.090,-0.138,0.023,-0.010,0.089
Q22,-0.053,-0.105,-0.034,-0.032,-0.118,-0.051,-0.240,-0.052,-0.035,-0.015,-0.096,-0.163,-0.026,-0.053,-0.116,-0.047,-0.055,0.095,0.030,,0.103,0.096,-0.048,0.177,-0.061,0.026
Q23,-0.169,-0.066,-0.061,0.061,-0.113,-0.012,0.040,-0.137,-0.036,-0.028,-0.075,-0.116,-0.092,-0.077,-0.066,-0.044,-0.099,-0.186,0.074,0.103,,0.038,-0.001,0.040,0.090,0.197
Q24,-0.078,-0.181,-0.024,-0.162,-0.161,-0.116,-0.084,-0.187,-0.019,-0.152,-0.145,0.032,-0.095,-0.044,0.031,-0.048,0.027,0.026,0.090,0.096,0.038,,0.020,-0.036,0.084,0.074
Q26,0.094,-0.162,0.049,-0.071,0.230,-0.206,-0.111,0.130,-0.019,0.180,0.070,-0.031,-0.043,-0.069,-0.074,-0.067,-0.224,0.238,-0.138,-0.048,-0.001,0.020,,-0.096,0.040,0.068
Q27,0.000,-0.129,-0.057,-0.003,-0.137,-0.066,-0.115,-0.192,0.036,-0.103,-0.062,-0.098,-0.038,-0.019,-0.090,-0.094,0.029,-0.105,0.023,0.177,0.040,-0.036,-0.096,,0.047,0.014
Q28,-0.194,-0.105,-0.049,-0.028,-0.112,-0.062,-0.001,-0.145,-0.157,0.038,-0.120,-0.132,-0.053,-0.074,-0.091,0.078,-0.052,0.043,-0.010,-0.061,0.090,0.084,0.040,0.047,,0.026
Q29,-0.167,-0.172,-0.119,-0.052,0.050,-0.154,-0.073,-0.133,-0.138,-0.134,-0.169,-0.117,0.066,-0.080,-0.122,-0.032,0.059,-0.035,0.089,0.026,0.197,0.074,0.068,0.014,0.026,
