ID,Language,GPA_numeric,GPA_ordinal,GPA_text_raw,Course,Conference,Region,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q26,Q27,Q28,Q29,Score_Total,Score_S1,Score_S2,Score_S3
12,ru,3.495,4,Выше среднего,3,0,Алматы,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,14,6,6,2
13,ru,2.995,3,На уровне среднего,2,0,Алматы,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,14,5,2,7
14,ru,3.495,3,На уровне среднего,3,0,Алматы,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,15,6,7,2
15,ru,3.495,3,На уровне среднего,3,0,Алматы,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,17,6,7,4
16,ru,3.495,4,Выше среднего,3,0,Алматинская область,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,24,7,9,8
17,ru,2.33,3,На уровне среднего,4,1,Алматы,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,8,4,2,2
18,ru,3.495,5,Значительно выше среднего (вхожу в 10% лучших),3,1,Алматы,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,8,9,9
19,ru,3.495,4,Выше среднего,4,1,Акмолинская область,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,17,6,5,6
20,ru,3.495,3,На уровне среднего,4,0,Алматинская область,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,20,5,6,9
21,ru,3.835,3,На уровне среднего,4,0,Алматы,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,18,8,5,5
22,ru,3.495,4,Выше среднего,4,1,Алматы,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,23,8,6,9
23,ru,2.33,3,На уровне среднего,2,0,Алматы,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,23,7,9,7
24,ru,3.495,3,На уровне среднего,3,0,Алматы,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,1,0,3
25,ru,3.495,4,Выше среднего,3,0,Алматы,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,16,7,6,3
26,ru,2.995,3,На уровне среднего,1,0,Алматы,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,8,9,9
27,kz,3.835,3,Орта деңгейде,4,0,Павлодарская область,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,6,2,0,4
28,kz,2.995,3,Орта деңгейде,2,0,Павлодарская область,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,24,7,8,9
29,kz,2.995,4,Орта деңгейден жоғары,4,0,Кызылординская область,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,8,9,9
30,ru,3.495,3,На уровне среднего,2,0,Павлодарская область,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,7,3,3,1
31,kz,3.495,4,Орта деңгейден жоғары,3,0,Алматинская область,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,6,0,4,2
32,kz,2.995,4,Орта деңгейден жоғары,3,0,Алматы,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,3,9,9
33,kz,3.495,4,Орта деңгейден жоғары,3,1,Алматы,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,8,3,2,3
34,kz,3.495,5,Орта деңгейден айтарлықтай жоғары (үздік 10%-дың қатарына кіремін),3,0,Алматы,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,24,8,9,7
35,kz,2.995,4,Орта деңгейден жоғары,3,0,Алматы,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,11,6,2,3
36,kz,2.995,4,Орта деңгейден жоғары,3,0,Мангистауская область,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,7,2,0,5
37,kz,3.495,3,Орта деңгейде,3,1,Алматинская область,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,8,9,9
38,kz,2.995,3,Орта деңгейде,3,0,Алматы,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,8,9,9
39,kz,2.995,3,Орта деңгейде,3,0,Туркестанская область,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,7,1,2,4
40,kz,3.495,3,Орта деңгейде,3,0,Кызылординская область,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,22,5,8,9
41,kz,2.995,3,Орта деңгейде,3,0,Алматинская область,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,22,6,9,7
42,kz,3.495,4,Орта деңгейден жоғары,3,1,Алматинская область,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,8,9,9
43,kz,3.495,4,Орта деңгейден жоғары,3,0,Алматы,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,16,6,8,2
44,kz,3.495,4,Орта деңгейден жоғары,3,0,Алматинская область,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,9,5,2,2
45,kz,3.495,5,Орта деңгейден айтарлықтай жоғары (үздік 10%-дың қатарына кіремін),3,1,Алматинская область,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,20,6,5,9
46,kz,3.495,4,Орта деңгейден жоғары,3,0,Алматы,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,22,8,9,5
47,kz,3.495,4,Орта деңгейден жоғары,3,0,Алматы,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,8,9,9
48,kz,2.995,3,Орта деңгейде,3,0,Алматинская область,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,3,2,1
49,kz,3.495,5,Орта деңгейден айтарлықтай жоғары (үздік 10%-дың қатарына кіремін),3,0,Алматы,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,11,5,3,3
50,kz,2.995,5,Орта деңгейден айтарлықтай жоғары (үздік 10%-дың қатарына кіремін),3,1,Алматинская область,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,25,8,9,8
51,kz,2.995,4,Орта деңгейден жоғары,3,0,Алматинская область,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,7,9,9
52,kz,3.495,5,Орта деңгейден айтарлықтай жоғары (үздік 10%-дың қатарына кіремін),3,0,Алматы,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,8,2,3,3
53,kz,3.495,4,Орта деңгейден жоғары,3,0,Алматы,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6,2,2,2
54,kz,3.495,5,Орта деңгейден айтарлықтай жоғары (үздік 10%-дың қатарына кіремін),3,0,Алматы,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,11,5,2,4
55,kz,2.995,4,Орта деңгейден жоғары,3,0,Алматы,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,24,8,9,7
56,kz,3.495,4,Орта деңгейден жоғары,3,0,Кызылординская область,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,8,0,1
57,kz,3.495,4,Орта деңгейден жоғары,3,0,Алматинская область,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,8,9,9
58,kz,3.495,4,Орта деңгейден жоғары,3,0,Алматинская область,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,15,8,7,0
59,kz,3.495,3,Орта деңгейде,4,0,Алматы,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,15,7,6,2
60,kz,3.835,5,Орта деңгейден айтарлықтай жоғары (үздік 10%-дың қатарына кіремін),4,1,Алматинская область,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,8,9,9
61,kz,2.33,3,Орта деңгейде,3,0,Алматы,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,25,8,8,9
62,kz,3.835,4,Орта деңгейден жоғары,4,1,Алматинская область,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,20,7,7,6
63,kz,3.495,4,Орта деңгейден жоғары,3,0,Алматы,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,14,5,5,4
64,kz,3.495,5,Орта деңгейден айтарлықтай жоғары (үздік 10%-дың қатарына кіремін),3,0,Алматы,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,4,1,2
65,kz,3.495,5,Орта деңгейден айтарлықтай жоғары (үздік 10%-дың қатарына кіремін),3,1,Алматы,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,8,9,9
66,kz,3.495,4,Орта деңгейден жоғары,3,0,Атырауская область,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,22,6,8,8
67,kz,2.995,4,Орта деңгейден жоғары,3,1,Алматинская область,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,24,8,7,9
68,kz,2.995,3,Орта деңгейде,3,0,Алматинская область,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,7,3,1,3
69,kz,2.995,4,Орта деңгейден жоғары,3,0,Алматы,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,14,6,3,5
70,kz,3.495,3,Орта деңгейде,3,0,Алматинская область,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,1,1
71,kz,2.995,3,Орта деңгейде,3,0,Алматы,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,10,3,5,2
72,kz,3.495,5,Орта деңгейден айтарлықтай жоғары (үздік 10%-дың қатарына кіремін),3,0,Алматы,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,9,3,2,4
73,kz,2.995,3,Орта деңгейде,3,0,Алматинская область,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,7,3,1,3
74,kz,2.995,3,Орта деңгейде,3,0,Алматинская область,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,12,4,5,3
75,kz,2.995,4,Орта деңгейден жоғары,3,0,Алматинская область,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,20,7,8,5
76,kz,3.835,5,Орта деңгейден айтарлықтай жоғары (үздік 10%-дың қатарына кіремін),3,1,Алматы,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,8,9,9
77,kz,2.995,4,Орта деңгейден жоғары,3,0,Алматы,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,6,1,3,2
78,kz,3.495,4,Орта деңгейден жоғары,3,0,Алматы,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,8,9,9
79,kz,3.495,4,Орта деңгейден жоғары,3,1,Алматинская область,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,5,0,1,4
80,kz,3.495,5,Орта деңгейден айтарлықтай жоғары (үздік 10%-дың қатарына кіремін),3,0,Алматинская область,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,8,2,1,5
81,kz,3.495,4,Орта деңгейден жоғары,3,0,Алматы,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,8,2,3,3
82,kz,3.495,4,Орта деңгейден жоғары,4,1,Жамбылская область,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,10,4,5,1
83,kz,2.995,3,Орта деңгейде,3,0,Жамбылская область,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,6,0,2,4
84,kz,3.835,5,Орта деңгейден айтарлықтай жоғары (үздік 10%-дың қатарына кіремін),4,0,Жамбылская область,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,6,9,9
85,kz,3.835,4,Орта деңгейден жоғары,4,0,Жамбылская область,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,8,9,9
86,kz,3.495,3,Орта деңгейде,4,1,Жамбылская область,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,11,5,3,3
87,kz,3.495,5,Орта деңгейден айтарлықтай жоғары (үздік 10%-дың қатарына кіремін),4,0,Жамбылская область,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,9,3,5,1
88,kz,3.835,4,Орта деңгейден жоғары,2,1,Жамбылская область,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,14,5,4,5
89,kz,3.495,5,Орта деңгейден айтарлықтай жоғары (үздік 10%-дың қатарына кіремін),3,0,Жамбылская область,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,25,8,8,9
90,kz,3.835,5,Орта деңгейден айтарлықтай жоғары (үздік 10%-дың қатарына кіремін),4,0,Жамбылская область,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,7,1,3,3
91,kz,3.495,4,Орта деңгейден жоғары,2,0,Жамбылская область,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,8,9,9
92,kz,3.495,4,Орта деңгейден жоғары,2,0,Жамбылская область,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,15,7,4,4
93,kz,3.835,5,Орта деңгейден айтарлықтай жоғары (үздік 10%-дың қатарына кіремін),2,1,Шымкент,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,14,5,5,4
94,kz,3.495,4,Орта деңгейден жоғары,4,1,Жамбылская область,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,15,6,5,4
95,ru,3.495,3,На уровне среднего,4,0,Жамбылская область,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6,3,1,2
96,kz,3.495,4,Орта деңгейден жоғары,4,1,Жамбылская область,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,8,9,9
97,kz,3.495,3,Орта деңгейде,4,0,Жамбылская область,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,23,7,7,9
98,kz,3.835,5,Орта деңгейден айтарлықтай жоғары (үздік 10%-дың қатарына кіремін),3,0,Жамбылская область,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,8,9,9
99,kz,2.995,2,Орта деңгейден төмен,4,0,Жамбылская область,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,8,3,4,1
100,kz,3.835,5,Орта деңгейден айтарлықтай жоғары (үздік 10%-дың қатарына кіремін),1,0,Жамбылская область,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,8,1,5,2
101,kz,3.495,3,Орта деңгейде,2,0,Жамбылская область,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,11,3,3,5
102,kz,3.835,4,Орта деңгейден жоғары,1,0,Жамбылская область,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,8,2,4,2
103,kz,3.835,4,Орта деңгейден жоғары,1,0,Жамбылская область,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,7,3,1,3
104,kz,3.835,5,Орта деңгейден айтарлықтай жоғары (үздік 10%-дың қатарына кіремін),1,0,Жамбылская область,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,8,9,9
105,kz,2.995,4,Орта деңгейден жоғары,2,0,Жамбылская область,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,6,9,9
106,kz,3.495,3,Орта деңгейде,1,1,Жамбылская область,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,8,9,9
107,kz,3.835,5,Орта деңгейден айтарлықтай жоғары (үздік 10%-дың қатарына кіремін),1,0,Алматинская область,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,20,7,7,6
108,kz,3.835,5,Орта деңгейден айтарлықтай жоғары (үздік 10%-дың қатарына кіремін),1,0,Жамбылская область,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,25,8,8,9
109,kz,3.835,4,Орта деңгейден жоғары,1,0,Шымкент,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,15,4,8,3
110,kz,3.835,4,Орта деңгейден жоғары,1,0,Жамбылская область,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,8,9,9
111,ru,3.835,5,Значительно выше среднего (вхожу в 10% лучших),3,0,Алматинская область,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,8,9,9
112,ru,2.33,3,На уровне среднего,3,0,Алматы,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,6,9,9
113,ru,2.995,5,Значительно выше среднего (вхожу в 10% лучших),3,0,Алматы,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,20,6,8,6
114,kz,3.495,3,Орта деңгейде,2,0,Восточно-Казахстанская область,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,8,3,2,3
115,kz,2.33,4,Орта деңгейден жоғары,1,1,Восточно-Казахстанская область,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,12,3,4,5
116,ru,3.495,4,Выше среднего,1,1,Восточно-Казахстанская область,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,11,4,3,4
117,kz,3.495,4,Орта деңгейден жоғары,1,0,Восточно-Казахстанская область,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,1,1
118,kz,3.495,3,Орта деңгейде,1,0,Астана,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,24,7,9,8
119,ru,2.33,3,На уровне среднего,4,0,Северо-Казахстанская область,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9,5,3,1
120,ru,3.495,4,Выше среднего,4,0,Северо-Казахстанская область,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,18,6,6,6
121,kz,2.995,3,Орта деңгейде,1,0,Актюбинская область,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,6,1,1,4
122,kz,3.495,3,Орта деңгейде,3,0,Актюбинская область,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,14,4,5,5
123,ru,2.995,3,На уровне среднего,3,0,Актюбинская область,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,5,1,3,1
124,kz,2.995,4,Орта деңгейден жоғары,3,0,Актюбинская область,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,11,3,6,2
125,kz,2.995,4,Орта деңгейден жоғары,3,1,Актюбинская область,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,15,8,5,2
126,kz,2.995,3,Орта деңгейде,3,0,Актюбинская область,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,8,3,3,2
127,ru,3.495,3,На уровне среднего,4,0,Северо-Казахстанская область,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,22,7,7,8
128,kz,2.995,4,Орта деңгейден жоғары,3,0,Актюбинская область,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,18,8,7,3
129,kz,2.995,4,Орта деңгейден жоғары,3,0,Актюбинская область,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,24,8,8,8
130,kz,2.33,3,Орта деңгейде,3,0,Актюбинская область,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,9,2,3,4
131,kz,2.995,4,Орта деңгейден жоғары,3,0,Актюбинская область,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,17,8,4,5
132,kz,3.495,5,Орта деңгейден айтарлықтай жоғары (үздік 10%-дың қатарына кіремін),3,0,Актюбинская область,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,11,4,3,4
133,kz,2.995,4,Орта деңгейден жоғары,3,1,Актюбинская область,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,2,1,2
134,kz,2.995,3,Орта деңгейде,3,1,Актюбинская область,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,13,4,6,3
135,ru,3.835,4,Выше среднего,4,1,Северо-Казахстанская область,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,22,7,7,8
136,kz,2.995,3,Орта деңгейде,3,0,Актюбинская область,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,7,3,3,1
137,ru,3.835,3,На уровне среднего,4,0,Северо-Казахстанская область,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,8,9,9
